@RELATION RSSI_X

@ATTRIBUTE r1  NUMERIC
@ATTRIBUTE r2   NUMERIC
@ATTRIBUTE r3  NUMERIC
@ATTRIBUTE r4   NUMERIC
@ATTRIBUTE x NUMERIC

@DATA
28,10,34,38,58293
28,34,31,37,58293
30,27,24,44,58293
28,34,25,45,58293
19,33,25,33,58293
23,28,33,45,58293
30,26,36,46,58293
29,33,37,47,58293
22,32,35,47,58293
35,26,35,45,58293
20,27,35,39,58293
29,33,32,43,58293
22,28,36,38,58293
23,33,26,37,58293
30,33,34,34,58293
30,10,35,44,58293
28,27,25,47,58293
20,34,24,39,58293
29,33,25,37,58293
22,34,34,37,58293
21,33,29,46,62306
30,30,21,42,62306
34,7,33,40,62306
23,13,31,29,62306
31,39,32,16,62306
29,37,31,35,62306
24,38,32,49,62306
24,38,27,37,62306
28,40,31,46,62306
31,35,31,37,62306
28,29,20,41,62306
31,33,32,41,62306
19,44,25,46,62306
20,41,22,46,62306
33,15,34,42,62306
28,29,21,39,62306
27,33,31,37,62306
33,33,30,32,62306
24,43,32,44,62306
33,42,25,38,62306
33,25,25,33,62306
20,40,32,49,62306
27,41,29,13,62306
21,38,24,38,62306
23,40,32,36,62306
27,37,32,45,62306
21,43,31,42,62306
19,45,21,38,62306
27,27,33,49,62306
32,30,28,33,62306
