@RELATION RSSI

@ATTRIBUTE r1  NUMERIC
@ATTRIBUTE r2   NUMERIC
@ATTRIBUTE r3  NUMERIC
@ATTRIBUTE r4   NUMERIC
@ATTRIBUTE class        {pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15}

@DATA
35,26,33,45,pos12
32,33,38,44,pos12
31,36,31,42,pos13
31,35,30,47,pos13
26,35,34,40,pos13
30,28,38,43,pos13
28,33,30,46,pos13
19,33,30,48,pos13
27,36,34,45,pos13
31,35,34,43,pos13
22,29,30,44,pos13
30,29,34,44,pos13
28,35,32,40,pos13
31,23,29,45,pos13
29,32,38,43,pos13
30,26,30,38,pos13
31,35,37,44,pos13
31,32,38,42,pos13
32,25,37,44,pos13
31,34,31,44,pos13
17,25,38,45,pos13
20,22,31,45,pos13
31,36,35,47,pos13
19,31,37,41,pos13
29,26,37,38,pos13
19,25,38,44,pos13
17,36,36,46,pos13
29,24,37,44,pos13
18,24,35,48,pos13
30,31,37,43,pos13
20,34,37,39,pos13
31,8,40,44,pos13
28,27,37,44,pos13
20,29,35,45,pos13
30,35,31,44,pos13
36,25,31,42,pos13
31,36,30,43,pos13
30,25,31,43,pos13
18,28,30,48,pos13
31,25,37,46,pos13
32,35,37,46,pos13
30,31,38,48,pos13
31,35,38,44,pos13
22,34,36,39,pos13
27,32,35,44,pos13
23,27,36,38,pos13
22,25,38,43,pos13
31,26,37,38,pos13
28,24,38,40,pos13
33,29,34,47,pos13
21,25,35,44,pos13
29,35,31,45,pos13
21,24,35,44,pos13
32,26,29,37,pos13
22,32,36,44,pos13
33,35,35,44,pos13
24,32,37,46,pos13
22,26,31,36,pos13
31,35,36,38,pos13
20,25,36,44,pos13
23,33,31,42,pos13
31,25,37,43,pos13
28,35,30,47,pos13
31,32,38,45,pos13
29,34,37,39,pos13
29,25,38,42,pos13
21,31,37,38,pos13
30,36,31,42,pos13
30,34,33,51,pos14
29,28,33,49,pos14
23,30,35,44,pos14
27,33,32,45,pos14
31,27,25,51,pos14
30,26,25,44,pos14
22,26,25,46,pos14
22,26,35,45,pos14
19,32,26,32,pos14
22,25,25,48,pos14
21,33,25,45,pos14
32,32,35,42,pos14
31,27,36,42,pos14
35,33,25,37,pos14
23,33,36,31,pos14
29,35,36,46,pos14
24,35,24,46,pos14
33,42,32,46,pos14
22,32,32,40,pos14
29,35,31,48,pos14
30,25,32,38,pos14
29,26,25,45,pos14
22,34,36,36,pos14
19,35,25,41,pos14
27,36,36,47,pos14
28,26,31,37,pos14
29,29,32,46,pos14
27,27,31,38,pos14
33,26,32,48,pos14
32,33,25,44,pos14
31,35,31,40,pos14
21,35,33,46,pos14
29,32,27,44,pos14
23,26,36,38,pos14
23,31,25,50,pos14
32,9,35,46,pos14
28,34,33,38,pos14
23,27,24,47,pos14
28,10,34,38,pos14
28,34,31,37,pos14
30,27,24,44,pos14
28,34,25,45,pos14
19,33,25,33,pos14
23,28,33,45,pos14
30,26,36,46,pos14
29,33,37,47,pos14
22,32,35,47,pos14
35,26,35,45,pos14
20,27,35,39,pos14
29,33,32,43,pos14
22,28,36,38,pos14
23,33,26,37,pos14
30,33,34,34,pos14
30,10,35,44,pos14
28,27,25,47,pos14
20,34,24,39,pos14
29,33,25,37,pos14
22,34,34,37,pos14
21,33,29,46,pos15
30,30,21,42,pos15
34,7,33,40,pos15
23,13,31,29,pos15
31,39,32,16,pos15
29,37,31,35,pos15
24,38,32,49,pos15
24,38,27,37,pos15
28,40,31,46,pos15
31,35,31,37,pos15
28,29,20,41,pos15
31,33,32,41,pos15
19,44,25,46,pos15
20,41,22,46,pos15
33,15,34,42,pos15
28,29,21,39,pos15
27,33,31,37,pos15
33,33,30,32,pos15
24,43,32,44,pos15
33,42,25,38,pos15
33,25,25,33,pos15
20,40,32,49,pos15
27,41,29,13,pos15
21,38,24,38,pos15
23,40,32,36,pos15
27,37,32,45,pos15
21,43,31,42,pos15
19,45,21,38,pos15
27,27,33,49,pos15
32,30,28,33,pos15
